commit id,author,date,comment,changed files,lines added,lines deleted,
a7eb2f380,Siedlerchr,Sun Mar 27 10:12:46 2022,Merge remote-tracking branch 'upstream/main' into checkKeygenOverwrite, ,,,
ee88e7fdc,Jonathan Oliveira,Sun Mar 27 10:09:10 2022,update test getPart (#8610),   1 file changed, 7 insertions(+), 3 deletions(-) ,
d4d2e76f2,Thiago Paiva,Sun Mar 27 10:08:59 2022,Add ControlHelper truncateString tests comments (#8612),   1 file changed, 59 insertions(+) ,,
18913f62a,Houssem Nasri,Sat Mar 26 09:43:49 2022,Allow using custom SSL certificates (#8583),   15 files changed, 692 insertions(+), 44 deletions(-) ,
075a228bf,Christoph,Sat Mar 26 08:56:37 2022,Fix protectedTerms not stored due to weaklistener (#8609),   2 files changed, 5 insertions(+), 4 deletions(-) ,
d77450376,小小的大肥,Sat Mar 26 03:50:39 2022,Fix changelog and version parsing (#8578),   4 files changed, 60 insertions(+), 14 deletions(-) ,
e9d3e6798,Paulo Henrique Gontijo,Sat Mar 26 03:29:28 2022,Creating more unit tests for NumericFieldComparatorTest (#8604),   1 file changed, 11 insertions(+) ,,
a2a76d6c0,Oliver Kopp,Sat Mar 26 02:57:28 2022,Add test cases,   1 file changed, 372 insertions(+), 3 deletions(-) ,
16244059f,Houssem Nasri,Wed Mar 23 11:23:59 2022,Fix merge entries dialog exceeding screen size (#8599),   2 files changed, 4 insertions(+), 1 deletion(-) ,
5cefd844e,Ling Zhang,Tue Mar 22 22:45:24 2022,Merge branch 'main' into fix-for-issue-8195, ,,,
2cbf661fc,Ling Zhang,Tue Mar 22 22:44:13 2022,"change notificationpane waiting time from 10s to 5s, change wording, remove checkstyle annotation",   3 files changed, 4 insertions(+), 5 deletions(-) ,
b73910af1,Natan Tavares Santana,Tue Mar 22 11:20:19 2022,StringUtilTest new test for method GetPart (#8594),   1 file changed, 4 insertions(+), 1 deletion(-) ,
aa49def00,Siedlerchr,Tue Mar 22 11:03:17 2022,Use unkown entry type,   1 file changed, 6 insertions(+), 9 deletions(-) ,
42e47721f,Etienne Mettaz,Tue Mar 22 10:51:36 2022,Add semantic scholar (#8575),   4 files changed, 413 insertions(+), 1 deletion(-) ,
03c3d5580,Etienne Mettaz,Tue Mar 22 10:34:26 2022,Add research gate (#8580),   5 files changed, 463 insertions(+), 1 deletion(-) ,
b47c29fcb,ni-wi,Mon Mar 21 15:58:35 2022,fix import of unlinked files (#8444) (#8582),   2 files changed, 9 insertions(+), 9 deletions(-) ,
d11449e71,Carl Christian Snethlage,Mon Mar 21 15:56:26 2022,Missed l10n for fetcher fix (#8597),   1 file changed, 2 insertions(+) ,,
d38774c58,Christoph,Mon Mar 21 15:26:53 2022,Fix some fetcher test (#8595),   8 files changed, 31 insertions(+), 10 deletions(-) ,
5d976a67e,dependabot[bot],Mon Mar 21 10:09:46 2022,Bump slf4j-api from 2.0.0-alpha6 to 2.0.0-alpha7 in /buildSrc (#8589),   2 files changed, 2 insertions(+), 2 deletions(-) ,
387662865,dependabot[bot],Mon Mar 21 09:31:58 2022,Bump ikonli-materialdesign2-pack from 12.3.0 to 12.3.1 (#8591),   1 file changed, 1 insertion(+), 1 deletion(-) ,
d923970e7,dependabot[bot],Mon Mar 21 09:30:46 2022,Bump gittools/actions from 0.9.11 to 0.9.13 (#8587),   1 file changed, 4 insertions(+), 4 deletions(-) ,
4c69363ca,dependabot[bot],Mon Mar 21 09:30:28 2022,Bump mockito-core from 4.3.1 to 4.4.0 (#8588),   1 file changed, 1 insertion(+), 1 deletion(-) ,
97a9c9a2b,dependabot[bot],Mon Mar 21 09:29:55 2022,Bump flowless from 0.6.8 to 0.6.9 (#8590),   1 file changed, 1 insertion(+), 1 deletion(-) ,
52d99599b,dependabot[bot],Mon Mar 21 09:29:30 2022,Bump ikonli-javafx from 12.3.0 to 12.3.1 (#8592),   1 file changed, 1 insertion(+), 1 deletion(-) ,
1afc60443,dependabot[bot],Mon Mar 21 09:29:12 2022,Bump unirest-java from 3.13.6 to 3.13.7 (#8593),   1 file changed, 1 insertion(+), 1 deletion(-) ,
540d0b513,Ling Zhang,Sat Mar 19 07:24:07 2022,code refactor for ExportCommand export method and update CHANGELOG.md,   2 files changed, 8 insertions(+), 14 deletions(-) ,
f11321f74,Ling Zhang,Sat Mar 19 04:49:16 2022,"change notificationpane message, use Timer to auto hide notificationpane, add CUSTOM theme",   3 files changed, 15 insertions(+), 13 deletions(-) ,
a51d0feee,Ling Zhang,Sat Mar 19 00:01:06 2022,sync branch fix-for-issue-8195, ,,,
629d0e9d2,Ling Zhang,Fri Mar 18 09:10:10 2022,add dark theme to the notification pane,   2 files changed, 17 insertions(+), 4 deletions(-) ,
92c1d18ac,Ling Zhang,Fri Mar 18 08:00:03 2022,show notification pane when the user save the file,   4 files changed, 60 insertions(+), 34 deletions(-) ,
6ebb56f07,Christoph,Thu Mar 17 10:57:08 2022,Fix missing search index dir (#8581),   2 files changed, 8 insertions(+), 2 deletions(-) ,
bc7d2276c,Carl Christian Snethlage,Thu Mar 17 09:30:10 2022,Bump JavaFX from 17.0.2 to 18 (#8577),   3 files changed, 8 insertions(+), 9 deletions(-) ,
5b2752211,addak,Wed Mar 16 13:48:36 2022,Resolve File Creation Issue With Medline/PubMed (#8552),   6 files changed, 18 insertions(+), 13 deletions(-) ,
64066198c,Christoph,Tue Mar 15 12:31:05 2022,Merge pull request #8574 from JabRef/refresh-csl, ,,,
bf72e5077,github actions,Mon Mar 14 19:30:51 2022,Refresh example styles,   1 file changed, 9 insertions(+), 9 deletions(-) ,
a582c9ccb,github actions,Mon Mar 14 19:30:51 2022,Merge commit '333a7027f4ef17f4b3451600be928c8cc6f69e09', ,,,
333a7027f,github actions,Mon Mar 14 19:30:51 2022,Squashed 'buildres/csl/csl-locales/' changes from 4877f181b1..c6e38e6963,   2 files changed, 18 insertions(+), 18 deletions(-) ,
7a1672078,github actions,Mon Mar 14 19:30:45 2022,Merge commit '663709d6832501f27cc33eae33ea86d4b5c454a6', ,,,
663709d68,github actions,Mon Mar 14 19:30:45 2022,Squashed 'buildres/csl/csl-styles/' changes from 8f69d4e2c0..6a7b708057,   10 files changed, 1732 insertions(+), 224 deletions(-) ,
3e359bade,Christoph,Mon Mar 14 13:10:58 2022,Update citeproc to fix CSL render exceptions (#8532),   3 files changed, 19 insertions(+), 10 deletions(-) ,
86f90de95,Christoph,Mon Mar 14 12:53:03 2022,Fix medline import due to mising module (#8573),   2 files changed, 3 insertions(+) ,,
882d8de40,dependabot[bot],Mon Mar 14 09:33:32 2022,Bump jackson-dataformat-yaml from 2.13.1 to 2.13.2 (#8568),   1 file changed, 1 insertion(+), 1 deletion(-) ,
d16f2827e,Oliver Kopp,Mon Mar 14 09:31:13 2022,Update Gradle Wrapper from 7.4 to 7.4.1. (#8565),   1 file changed, 2 insertions(+), 2 deletions(-) ,
cf9dc6127,dependabot[bot],Mon Mar 14 09:30:38 2022,Bump org.eclipse.jgit from 6.0.0.202111291000-r to 6.1.0.202203080745-r (#8569),   1 file changed, 1 insertion(+), 1 deletion(-) ,
f610c5ed2,dependabot[bot],Mon Mar 14 09:30:19 2022,Bump jackson-datatype-jsr310 from 2.13.1 to 2.13.2 (#8570),   1 file changed, 1 insertion(+), 1 deletion(-) ,
4e88e427a,dependabot[bot],Mon Mar 14 09:29:31 2022,Bump libreoffice from 7.3.0 to 7.3.1 (#8571),   1 file changed, 1 insertion(+), 1 deletion(-) ,
6fedceea9,dependabot[bot],Mon Mar 14 09:29:19 2022,Bump com.adarshr.test-logger from 3.1.0 to 3.2.0 (#8572),   1 file changed, 1 insertion(+), 1 deletion(-) ,
cff1d712f,Ling Zhang,Mon Mar 14 04:14:31 2022,add ask user whether to open the saved file folder feature,   4 files changed, 37 insertions(+), 4 deletions(-) ,
5149ee1ed,Joao Henrique,Fri Mar 11 16:37:25 2022,"Update RemoteSetupTest.java, adding eq() function from mockito (#8561)",   1 file changed, 2 insertions(+), 1 deletion(-) ,
89d104792,Siedlerchr,Fri Mar 11 16:32:13 2022,readd encoding after merge,   1 file changed, 2 insertions(+), 1 deletion(-) ,
e486650c5,antalk2,Fri Mar 11 16:29:12 2022,Open office refactor finalization (formerly OObranch J cleanup) (#7795),   107 files changed, 5227 insertions(+), 4102 deletions(-) ,
ada4bae9d,Christoph,Fri Mar 11 12:16:26 2022,"Revert Refine documentation (#8551)"" (#8560)""", ,,,
f033ff39a,Oliver Kopp,Fri Mar 11 12:15:33 2022,Refine documentation on logging (#8550),   3 files changed, 11 insertions(+), 3 deletions(-) ,
0a22513a5,Christoph,Fri Mar 11 12:15:07 2022,"Revert Refine documentation (#8551)"" (#8559)""",   1 file changed, 1 insertion(+), 12 deletions(-) ,
f62bef023,Oliver Kopp,Fri Mar 11 12:14:48 2022,Refine documentation (#8551),   1 file changed, 12 insertions(+), 1 deletion(-) ,
1134eb82f,Christoph,Fri Mar 11 11:46:15 2022,New Crowdin updates (#8557),   3 files changed, 151 insertions(+), 6 deletions(-) ,
0b9101115,Oliver Kopp,Mon Mar 7 16:21:02 2022,Fix output format of CSL could not be changed if new style was selected,   1 file changed, 3 insertions(+), 2 deletions(-) ,
69ac6100a,Oliver Kopp,Mon Mar 7 14:54:10 2022,Rewrite to parameterized tests,   1 file changed, 62 insertions(+), 87 deletions(-) ,
749b6b237,Christoph,Thu Mar 10 13:20:52 2022,New Crowdin updates (#8553),   22 files changed, 111 insertions(+), 132 deletions(-) ,
6b32e863b,Jonatan Asketorp,Thu Mar 10 13:20:35 2022,Fix missing metadata in BibDatabaseContext (#8556),   1 file changed, 5 insertions(+) ,,
75df9a3e3,Oliver Kopp,Wed Mar 9 16:20:02 2022,Add encoding detection (and pin export to UTF-8) (#8506),   114 files changed, 429 insertions(+), 626 deletions(-) ,
7bc676699,addak,Wed Mar 9 10:46:17 2022,Add Missing Fillers/Extractors for Supported Fields and Support Day Conversion (#8531),   13 files changed, 268 insertions(+), 64 deletions(-) ,
3383f9b21,dependabot[bot],Tue Mar 8 00:43:18 2022,Bump checkstyle from 9.3 to 10.0 (#8544),   4 files changed, 4 insertions(+), 4 deletions(-) ,
0c439de3d,Christoph,Mon Mar 7 14:58:34 2022,Fix online link detection in entry editor (#8514),   4 files changed, 26 insertions(+), 4 deletions(-) ,
3c247ff55,Oliver Kopp,Mon Mar 7 14:33:48 2022,Add some JavaDoc to Fetchers,   5 files changed, 21 insertions(+), 4 deletions(-) ,
b304feb10,Insomniac66,Mon Mar 7 14:13:18 2022,"Support two argument form of \abx
aux
cite macro in DefaultAuxParser (#8549)",   4 files changed, 38 insertions(+), 2 deletions(-) ,
3c381bb89,dependabot[bot],Mon Mar 7 08:10:00 2022,Bump guava from 31.0.1-jre to 31.1-jre (#8543),   1 file changed, 1 insertion(+), 1 deletion(-) ,
40636f4fc,dependabot[bot],Mon Mar 7 08:08:44 2022,Bump org.beryx.jlink from 2.24.4 to 2.25.0 (#8548),   1 file changed, 1 insertion(+), 1 deletion(-) ,
f76e7255a,dependabot[bot],Mon Mar 7 07:46:53 2022,Bump postgresql from 42.3.2 to 42.3.3 (#8546),   1 file changed, 1 insertion(+), 1 deletion(-) ,
91d34c2e5,dependabot[bot],Mon Mar 7 07:44:19 2022,Bump richtextfx from 0.10.7 to 0.10.9 (#8547),   1 file changed, 1 insertion(+), 1 deletion(-) ,
3d5e0a114,dependabot[bot],Mon Mar 7 07:27:41 2022,Bump archunit-junit5-engine from 0.22.0 to 0.23.1 (#8545),   1 file changed, 1 insertion(+), 1 deletion(-) ,
daa09ffb1,dependabot[bot],Mon Mar 7 07:23:48 2022,Bump actions/checkout from 2 to 3 (#8542),   9 files changed, 15 insertions(+), 15 deletions(-) ,
096d7705f,Christoph,Tue Mar 1 00:17:47 2022,Merge pull request #8537 from JabRef/refresh-csl, ,,,
f30c47f94,github actions,Mon Feb 28 19:29:55 2022,Merge commit '927b7e752db6c20b87e2cef210eb8b30ea93d2db', ,,,
927b7e752,github actions,Mon Feb 28 19:29:54 2022,Squashed 'buildres/csl/csl-styles/' changes from eb97405e0e..8f69d4e2c0,   23 files changed, 5648 insertions(+), 994 deletions(-) ,
2234f78fe,dependabot[bot],Mon Feb 28 08:53:27 2022,Bump classgraph from 4.8.139 to 4.8.141 (#8535),   1 file changed, 1 insertion(+), 1 deletion(-) ,
356d94055,dependabot[bot],Mon Feb 28 08:53:12 2022,Bump archunit-junit5-api from 0.22.0 to 0.23.1 (#8536),   1 file changed, 1 insertion(+), 1 deletion(-) ,
f17eb4034,Alexandre Crémieux,Sat Feb 26 04:38:53 2022,issue(8448): allow URL with + sign in entry tabs (#8508),   3 files changed, 41 insertions(+), 10 deletions(-) ,
0e8141728,Oliver Kopp,Fri Feb 25 12:12:50 2022,Add initial telemetry development documentation (#8530),   2 files changed, 12 insertions(+) ,,
de331ed7e,Oliver Kopp,Thu Feb 24 01:59:55 2022,"Add existing Remote storage"" to index""",   2 files changed, 3 insertions(+), 4 deletions(-) ,
a55f1d510,Christoph,Thu Feb 24 00:50:26 2022,Disable telemetry client due to incompatibilites with jakarta (#8526),   1 file changed, 3 insertions(+), 4 deletions(-) ,
d98a603d4,Christoph,Tue Feb 22 11:46:41 2022,Update to jakarta xml everywhere and update PDFbox (#8521),   21 files changed, 103 insertions(+), 73 deletions(-) ,
fe09fcc77,dependabot[bot],Mon Feb 21 10:31:57 2022,Bump flexmark-ext-gfm-tasklist from 0.62.2 to 0.64.0 (#8515),   1 file changed, 1 insertion(+), 1 deletion(-) ,
2873be0bc,dependabot[bot],Mon Feb 21 10:31:17 2022,Bump xmlunit-core from 2.8.4 to 2.9.0 (#8519),   1 file changed, 1 insertion(+), 1 deletion(-) ,
3cc3e166d,dependabot[bot],Mon Feb 21 09:59:02 2022,Bump org.openjfx.javafxplugin from 0.0.11 to 0.0.12 (#8518),   1 file changed, 1 insertion(+), 1 deletion(-) ,
c29bb242d,dependabot[bot],Mon Feb 21 09:57:21 2022,Bump mockito-core from 4.3.0 to 4.3.1 (#8520),   1 file changed, 1 insertion(+), 1 deletion(-) ,
f58ab6766,Christoph,Sat Feb 19 12:37:38 2022,"Revert Fix for Indexing stopping while having library modification (#8469)"" (#8511)""",   3 files changed, 6 insertions(+), 30 deletions(-) ,
4fee3c4e4,Oliver Kopp,Fri Feb 18 15:08:09 2022,Fix typo,   1 file changed, 1 insertion(+), 1 deletion(-) ,
e60c87e3b,Oliver Kopp,Fri Feb 18 15:07:43 2022,Fix grammar,   1 file changed, 1 insertion(+), 1 deletion(-) ,
d6fec0b54,GabrielZardoya,Fri Feb 18 12:59:19 2022,Fix for Indexing stopping while having library modification (#8469),   3 files changed, 30 insertions(+), 6 deletions(-) ,
b33ebfb4a,Christoph,Tue Feb 15 12:29:57 2022,Merge pull request #8503 from JabRef/refresh-csl, ,,,
3eb60dc38,github actions,Mon Feb 14 19:21:17 2022,Refresh example styles,   1 file changed, 1 insertion(+), 1 deletion(-) ,
999b9e206,github actions,Mon Feb 14 19:21:17 2022,Merge commit 'eeb793ca4d447afdae750d3668c62d98b73216ad', ,,,
eeb793ca4,github actions,Mon Feb 14 19:21:16 2022,Squashed 'buildres/csl/csl-styles/' changes from 76f23a2d0e..eb97405e0e,   12 files changed, 625 insertions(+), 348 deletions(-) ,
3056498eb,Carl Christian Snethlage,Mon Feb 14 13:01:10 2022,wip,   12 files changed, 149 insertions(+), 147 deletions(-) ,
bbe4bf123,Oliver Kopp,Mon Feb 14 08:52:10 2022,Update Gradle Wrapper from 7.3.3 to 7.4. (#8499),   2 files changed, 2 insertions(+), 2 deletions(-) ,
c0b0dac2d,dependabot[bot],Mon Feb 14 08:51:36 2022,Bump flexmark-ext-gfm-strikethrough from 0.62.2 to 0.64.0 (#8500),   1 file changed, 1 insertion(+), 1 deletion(-) ,
d83bc7335,dependabot[bot],Mon Feb 14 08:51:17 2022,Bump tika-core from 2.2.1 to 2.3.0 (#8501),   1 file changed, 1 insertion(+), 1 deletion(-) ,
d88d6c0db,dependabot[bot],Mon Feb 14 08:51:06 2022,Bump classgraph from 4.8.138 to 4.8.139 (#8502),   1 file changed, 1 insertion(+), 1 deletion(-) ,
c1f74a5f8,Siedlerchr,Sun Feb 13 12:13:07 2022,try to improve threading,   3 files changed, 28 insertions(+), 24 deletions(-) ,
d8ba668dd,Siedlerchr,Sun Feb 13 11:48:10 2022,Fix UI Thraddlist blocking,   1 file changed, 2 insertions(+), 2 deletions(-) ,
e73f8bc56,Siedlerchr,Fri Feb 11 12:29:35 2022,Fix UI Thread blocking,   3 files changed, 23 insertions(+), 18 deletions(-) ,
e7b82199c,Siedlerchr,Wed Feb 9 14:00:57 2022,make checkstyle and olly happy,   2 files changed, 1 insertion(+), 2 deletions(-) ,
033a57e4c,Siedlerchr,Wed Feb 9 13:58:42 2022,convert default task executor to execute dummy fx thread,   1 file changed, 1 insertion(+), 2 deletions(-) ,
a35b4b0f3,Siedlerchr,Wed Feb 9 13:51:36 2022,remove useless fx code revert actions changes,   2 files changed, 2 insertions(+), 7 deletions(-) ,
cf209ee55,Siedlerchr,Wed Feb 9 13:47:22 2022,fix checkstyle add javadoc,   2 files changed, 10 insertions(+), 7 deletions(-) ,
51aa6a6a0,Siedlerchr,Wed Feb 9 13:36:15 2022,use current thread task,   1 file changed, 3 insertions(+), 3 deletions(-) ,
6fc9ecb45,Siedlerchr,Wed Feb 9 13:32:58 2022,implement dummy fx thread,   4 files changed, 20 insertions(+), 2 deletions(-) ,
4251dc0ec,Siedlerchr,Wed Feb 9 12:56:09 2022,fix some threding errors,   2 files changed, 5 insertions(+), 4 deletions(-) ,
30a12f9a7,Siedlerchr,Wed Feb 9 12:42:02 2022,fix missing task executor,   1 file changed, 1 insertion(+), 1 deletion(-) ,
04842c0f3,Siedlerchr,Wed Feb 9 12:28:42 2022,use default task executor,   1 file changed, 3 insertions(+), 3 deletions(-) ,
a2dd44e46,Siedlerchr,Wed Feb 9 12:21:21 2022,checkstyle,   1 file changed, 1 insertion(+), 1 deletion(-) ,
e608b1f3b,Siedlerchr,Wed Feb 9 12:20:05 2022,try to fix tests,   2 files changed, 8 insertions(+), 5 deletions(-) ,
fbaf90787,Siedlerchr,Wed Feb 9 12:05:38 2022,Merge branch 'Kai-Franke-DLR-dbsync' into dbsync, ,,,
90e096917,Siedlerchr,Wed Feb 9 12:03:18 2022,fix architecture violation,   5 files changed, 19 insertions(+), 15 deletions(-) ,
25888f415,Kai Franke,Wed Feb 9 02:58:18 2022,Handling of field change events as background task,   1 file changed, 9 insertions(+), 5 deletions(-) ,
de114d520,REubank,Wed Feb 9 00:53:51 2022,Fix for opening console on active database (#8492),   3 files changed, 65 insertions(+), 2 deletions(-) ,
2b78ac7cb,Siedlerchr,Mon Feb 7 11:46:50 2022,improve db sync,   1 file changed, 13 insertions(+), 3 deletions(-) ,
dd75938dd,dependabot[bot],Mon Feb 7 10:15:50 2022,Bump unoloader from 7.2.5 to 7.3.0 (#8486),   1 file changed, 1 insertion(+), 1 deletion(-) ,
c52936bb1,dependabot[bot],Mon Feb 7 10:04:45 2022,Bump flowless from 0.6.7 to 0.6.8 (#8489),   2 files changed, 2 insertions(+), 2 deletions(-) ,
1a4e34934,dependabot[bot],Mon Feb 7 09:56:07 2022,Bump libreoffice from 7.2.5 to 7.3.0 (#8487),   1 file changed, 1 insertion(+), 1 deletion(-) ,
55c2457e1,dependabot[bot],Mon Feb 7 09:53:33 2022,Bump postgresql from 42.3.1 to 42.3.2 (#8488),   1 file changed, 1 insertion(+), 1 deletion(-) ,
2614890ee,Christoph,Tue Feb 1 00:38:20 2022,Merge pull request #8482 from JabRef/refresh-csl, ,,,
20b19f141,github actions,Mon Jan 31 19:18:10 2022,Squashed 'buildres/csl/csl-locales/' changes from 4a551a87c3..4877f181b1,   1 file changed, 27 insertions(+), 27 deletions(-) ,
cbe75a7e6,github actions,Mon Jan 31 19:18:10 2022,Merge commit '20b19f141c7d00c86c69ee86a007d18b9cebbfa7', ,,,
b4d5d46e9,github actions,Mon Jan 31 19:18:06 2022,Squashed 'buildres/csl/csl-styles/' changes from 0237ae7bea..76f23a2d0e,   31 files changed, 514 insertions(+), 341 deletions(-) ,
afe35f145,github actions,Mon Jan 31 19:18:06 2022,Merge commit 'b4d5d46e97ea4a9cac016c46883423694927216f', ,,,
c1c79a054,Benedikt Tutzer,Mon Jan 31 13:15:39 2022,Introduce preference to disable fulltext indexing (#8478),   8 files changed, 78 insertions(+), 31 deletions(-) ,
a8a6129be,Carl Christian Snethlage,Mon Jan 31 12:50:45 2022,Upgrade to jdk 17 (#8433),   7 files changed, 41 insertions(+), 46 deletions(-) ,
395abea40,Luke,Mon Jan 31 12:48:19 2022,Fix for DOI copy issues (#8471),   7 files changed, 41 insertions(+), 14 deletions(-) ,
c95cef5bd,dependabot[bot],Mon Jan 31 09:33:33 2022,Bump xmlunit-matchers from 2.8.4 to 2.9.0 (#8479),   1 file changed, 1 insertion(+), 1 deletion(-) ,
9f1ef7439,dependabot[bot],Mon Jan 31 09:33:21 2022,Bump checkstyle from 9.2.1 to 9.3 (#8480),   1 file changed, 1 insertion(+), 1 deletion(-) ,
6f9cd95da,Christoph,Sun Jan 30 13:21:22 2022,Fixsomefetchers (#8477),   2 files changed, 15 insertions(+), 2 deletions(-) ,
8ca6b7f28,Carl Christian Snethlage,Sun Jan 30 12:15:06 2022,Observable Preferences K (Integration of wild preferences) (#8422),   20 files changed, 249 insertions(+), 245 deletions(-) ,
d710c9a1f,Christoph,Sat Jan 29 04:35:23 2022,Potential fix for Library tab issue (#8474),   1 file changed, 2 insertions(+), 1 deletion(-) ,
b16160e5a,Christoph,Fri Jan 28 10:27:39 2022,Support CrossRef in CSL styles (#8454),   22 files changed, 1795 insertions(+), 269 deletions(-) ,
db625f0cb,Jonatan Asketorp,Fri Jan 28 09:58:11 2022,Update FUNDING.yml (#8473),   1 file changed, 1 insertion(+), 1 deletion(-) ,
