"","X1","X2","X3","X4","X5","X6","X7","X8"
"41","6fedceea9","dependabot[bot]","Mon Mar 14 09:29:19 2022","Bump com.adarshr.test-logger from 3.1.0 to 3.2.0 (#8572)","1 file changed","1 insertion(+)","1 deletion(-)",""
"42","5149ee1ed","Joao Henrique","Fri Mar 11 16:37:25 2022","Update RemoteSetupTest.java, adding eq() function from mockito (#8561)","1 file changed","2 insertions(+)","1 deletion(-)",""
"43","89d104792","Siedlerchr","Fri Mar 11 16:32:13 2022","readd encoding after merge","1 file changed","2 insertions(+)","1 deletion(-)",""
"44","0a22513a5","Christoph","Fri Mar 11 12:15:07 2022","Revert Refine documentation (#8551)"""" (#8559)""""","1 file changed","1 insertion(+)","12 deletions(-)",""
"45","f62bef023","Oliver Kopp","Fri Mar 11 12:14:48 2022","Refine documentation (#8551)","1 file changed","12 insertions(+)","1 deletion(-)",""
"46","0b9101115","Oliver Kopp","Mon Mar 7 16:21:02 2022","Fix output format of CSL could not be changed if new style was selected","1 file changed","3 insertions(+)","2 deletions(-)",""
"47","69ac6100a","Oliver Kopp","Mon Mar 7 14:54:10 2022","Rewrite to parameterized tests","1 file changed","62 insertions(+)","87 deletions(-)",""
"48","6b32e863b","Jonatan Asketorp","Thu Mar 10 13:20:35 2022","Fix missing metadata in BibDatabaseContext (#8556)","1 file changed","5 insertions(+)","",""
"49","3c381bb89","dependabot[bot]","Mon Mar 7 08:10:00 2022","Bump guava from 31.0.1-jre to 31.1-jre (#8543)","1 file changed","1 insertion(+)","1 deletion(-)",""
"50","40636f4fc","dependabot[bot]","Mon Mar 7 08:08:44 2022","Bump org.beryx.jlink from 2.24.4 to 2.25.0 (#8548)","1 file changed","1 insertion(+)","1 deletion(-)",""
"51","f76e7255a","dependabot[bot]","Mon Mar 7 07:46:53 2022","Bump postgresql from 42.3.2 to 42.3.3 (#8546)","1 file changed","1 insertion(+)","1 deletion(-)",""
"52","91d34c2e5","dependabot[bot]","Mon Mar 7 07:44:19 2022","Bump richtextfx from 0.10.7 to 0.10.9 (#8547)","1 file changed","1 insertion(+)","1 deletion(-)",""
"53","3d5e0a114","dependabot[bot]","Mon Mar 7 07:27:41 2022","Bump archunit-junit5-engine from 0.22.0 to 0.23.1 (#8545)","1 file changed","1 insertion(+)","1 deletion(-)",""
"54","2234f78fe","dependabot[bot]","Mon Feb 28 08:53:27 2022","Bump classgraph from 4.8.139 to 4.8.141 (#8535)","1 file changed","1 insertion(+)","1 deletion(-)",""
"55","356d94055","dependabot[bot]","Mon Feb 28 08:53:12 2022","Bump archunit-junit5-api from 0.22.0 to 0.23.1 (#8536)","1 file changed","1 insertion(+)","1 deletion(-)",""
"56","a55f1d510","Christoph","Thu Feb 24 00:50:26 2022","Disable telemetry client due to incompatibilites with jakarta (#8526)","1 file changed","3 insertions(+)","4 deletions(-)",""
"57","fe09fcc77","dependabot[bot]","Mon Feb 21 10:31:57 2022","Bump flexmark-ext-gfm-tasklist from 0.62.2 to 0.64.0 (#8515)","1 file changed","1 insertion(+)","1 deletion(-)",""
"58","2873be0bc","dependabot[bot]","Mon Feb 21 10:31:17 2022","Bump xmlunit-core from 2.8.4 to 2.9.0 (#8519)","1 file changed","1 insertion(+)","1 deletion(-)",""
"59","3cc3e166d","dependabot[bot]","Mon Feb 21 09:59:02 2022","Bump org.openjfx.javafxplugin from 0.0.11 to 0.0.12 (#8518)","1 file changed","1 insertion(+)","1 deletion(-)",""
"60","c29bb242d","dependabot[bot]","Mon Feb 21 09:57:21 2022","Bump mockito-core from 4.3.0 to 4.3.1 (#8520)","1 file changed","1 insertion(+)","1 deletion(-)",""
"61","4fee3c4e4","Oliver Kopp","Fri Feb 18 15:08:09 2022","Fix typo","1 file changed","1 insertion(+)","1 deletion(-)",""
"62","e60c87e3b","Oliver Kopp","Fri Feb 18 15:07:43 2022","Fix grammar","1 file changed","1 insertion(+)","1 deletion(-)",""
"63","3eb60dc38","github actions","Mon Feb 14 19:21:17 2022","Refresh example styles","1 file changed","1 insertion(+)","1 deletion(-)",""
"64","c0b0dac2d","dependabot[bot]","Mon Feb 14 08:51:36 2022","Bump flexmark-ext-gfm-strikethrough from 0.62.2 to 0.64.0 (#8500)","1 file changed","1 insertion(+)","1 deletion(-)",""
"65","d83bc7335","dependabot[bot]","Mon Feb 14 08:51:17 2022","Bump tika-core from 2.2.1 to 2.3.0 (#8501)","1 file changed","1 insertion(+)","1 deletion(-)",""
"66","d88d6c0db","dependabot[bot]","Mon Feb 14 08:51:06 2022","Bump classgraph from 4.8.138 to 4.8.139 (#8502)","1 file changed","1 insertion(+)","1 deletion(-)",""
"67","d8ba668dd","Siedlerchr","Sun Feb 13 11:48:10 2022","Fix UI Thraddlist blocking","1 file changed","2 insertions(+)","2 deletions(-)",""
"68","033a57e4c","Siedlerchr","Wed Feb 9 13:58:42 2022","convert default task executor to execute dummy fx thread","1 file changed","1 insertion(+)","2 deletions(-)",""
"69","51aa6a6a0","Siedlerchr","Wed Feb 9 13:36:15 2022","use current thread task","1 file changed","3 insertions(+)","3 deletions(-)",""
"70","30a12f9a7","Siedlerchr","Wed Feb 9 12:42:02 2022","fix missing task executor","1 file changed","1 insertion(+)","1 deletion(-)",""
"71","04842c0f3","Siedlerchr","Wed Feb 9 12:28:42 2022","use default task executor","1 file changed","3 insertions(+)","3 deletions(-)",""
"72","a2dd44e46","Siedlerchr","Wed Feb 9 12:21:21 2022","checkstyle","1 file changed","1 insertion(+)","1 deletion(-)",""
"73","25888f415","Kai Franke","Wed Feb 9 02:58:18 2022","Handling of field change events as background task","1 file changed","9 insertions(+)","5 deletions(-)",""
"74","2b78ac7cb","Siedlerchr","Mon Feb 7 11:46:50 2022","improve db sync","1 file changed","13 insertions(+)","3 deletions(-)",""
"75","dd75938dd","dependabot[bot]","Mon Feb 7 10:15:50 2022","Bump unoloader from 7.2.5 to 7.3.0 (#8486)","1 file changed","1 insertion(+)","1 deletion(-)",""
"76","1a4e34934","dependabot[bot]","Mon Feb 7 09:56:07 2022","Bump libreoffice from 7.2.5 to 7.3.0 (#8487)","1 file changed","1 insertion(+)","1 deletion(-)",""
"77","55c2457e1","dependabot[bot]","Mon Feb 7 09:53:33 2022","Bump postgresql from 42.3.1 to 42.3.2 (#8488)","1 file changed","1 insertion(+)","1 deletion(-)",""
"78","20b19f141","github actions","Mon Jan 31 19:18:10 2022","Squashed 'buildres/csl/csl-locales/' changes from 4a551a87c3..4877f181b1","1 file changed","27 insertions(+)","27 deletions(-)",""
"79","c95cef5bd","dependabot[bot]","Mon Jan 31 09:33:33 2022","Bump xmlunit-matchers from 2.8.4 to 2.9.0 (#8479)","1 file changed","1 insertion(+)","1 deletion(-)",""
"80","9f1ef7439","dependabot[bot]","Mon Jan 31 09:33:21 2022","Bump checkstyle from 9.2.1 to 9.3 (#8480)","1 file changed","1 insertion(+)","1 deletion(-)",""
"81","d710c9a1f","Christoph","Sat Jan 29 04:35:23 2022","Potential fix for Library tab issue (#8474)","1 file changed","2 insertions(+)","1 deletion(-)",""
"82","db625f0cb","Jonatan Asketorp","Fri Jan 28 09:58:11 2022","Update FUNDING.yml (#8473)","1 file changed","1 insertion(+)","1 deletion(-)",""
"83","a39718b2d","Christoph","Fri Jan 28 02:46:19 2022","Update to Javafx 17.02 (#8470)","1 file changed","1 insertion(+)","1 deletion(-)",""
"84","521f0ee84","dependabot[bot]","Mon Jan 24 10:18:46 2022","Bump mariadb-java-client from 2.7.4 to 2.7.5 (#8457)","1 file changed","1 insertion(+)","1 deletion(-)",""
"85","576f8c79b","dependabot[bot]","Mon Jan 24 10:18:06 2022","Bump com.github.andygoossens.modernizer from 1.6.1 to 1.6.2 (#8459)","1 file changed","1 insertion(+)","1 deletion(-)",""
"86","86c2ea03c","dependabot[bot]","Mon Jan 24 10:17:34 2022","Bump mockito-core from 4.2.0 to 4.3.0 (#8460)","1 file changed","1 insertion(+)","1 deletion(-)",""
"87","6487c29cf","dependabot[bot]","Mon Jan 24 10:17:07 2022","Bump xmlunit-matchers from 2.8.3 to 2.8.4 (#8461)","1 file changed","1 insertion(+)","1 deletion(-)",""
"88","12494db5f","Jonatan Asketorp","Sun Jan 23 15:36:30 2022","Add Tooltip","1 file changed","3 insertions(+)","",""
"89","c1152ff93","Jonatan Asketorp","Sun Jan 23 15:36:08 2022","Fix re-enabling Jump to entry""""""""","1 file changed","8 insertions(+)","8 deletions(-)",""
"90","dc5346045","Siedlerchr","Mon Jan 17 15:35:47 2022","update snap url","1 file changed","1 insertion(+)","1 deletion(-)",""
"91","494c20246","Carl Christian Snethlage","Mon Jan 17 15:35:46 2022","Update bug_report.yml for 5.5","1 file changed","1 insertion(+)","1 deletion(-)",""
"92","8e0bfebe4","Carl Christian Snethlage","Mon Jan 17 14:47:15 2022","Show development information\n\n+semver: minor","1 file changed","25 insertions(+)","",""
"93","27a05c73a","Carl Christian Snethlage","Mon Jan 17 13:20:16 2022","Release v5.5","1 file changed","3 insertions(+)","18 deletions(-)",""
"94","56cea3c31","Siedlerchr","Mon Jan 17 13:11:16 2022","Update journal abbrev list","1 file changed","0 insertions(+)","0 deletions(-)",""
"95","a14f0a861","Siedlerchr","Mon Jan 17 13:08:42 2022","Fix missing imports","1 file changed","2 insertions(+)","",""
"96","10ca6c055","github actions","Mon Jan 17 12:48:23 2022","Refresh example styles","1 file changed","11 insertions(+)","8 deletions(-)",""
"97","5f11690ce","dependabot[bot]","Mon Jan 17 08:38:07 2022","Bump libreoffice from 7.2.3 to 7.2.5 (#8436)","1 file changed","1 insertion(+)","1 deletion(-)",""
"98","977caf764","dependabot[bot]","Mon Jan 17 08:36:17 2022","Bump org.openjfx.javafxplugin from 0.0.10 to 0.0.11 (#8437)","1 file changed","1 insertion(+)","1 deletion(-)",""
"99","b2baba12e","github actions","Fri Jan 14 19:21:36 2022","Refresh example styles","1 file changed","302 insertions(+)","3 deletions(-)",""
"100","4b85680fa","github actions","Fri Jan 14 19:21:34 2022","Refresh example styles","1 file changed","8 insertions(+)","15 deletions(-)",""
"101","9e3506fef","dependabot[bot]","Mon Jan 10 09:45:15 2022","Bump unoloader from 7.2.2 to 7.2.5 (#8415)","1 file changed","1 insertion(+)","1 deletion(-)",""
"102","ee3cef73f","dependabot[bot]","Mon Jan 10 08:54:05 2022","Bump checkstyle from 9.2 to 9.2.1 (#8409)","1 file changed","1 insertion(+)","1 deletion(-)",""
"103","2192a102d","dependabot[bot]","Mon Jan 10 08:53:57 2022","Bump unirest-java from 3.13.4 to 3.13.6 (#8410)","1 file changed","1 insertion(+)","1 deletion(-)",""
"104","438963845","dependabot[bot]","Mon Jan 10 08:46:09 2022","Bump ikonli-materialdesign2-pack from 12.2.0 to 12.3.0 (#8411)","1 file changed","1 insertion(+)","1 deletion(-)",""
"105","50eab721e","dependabot[bot]","Mon Jan 10 08:41:36 2022","Bump ikonli-javafx from 12.2.0 to 12.3.0 (#8408)","1 file changed","1 insertion(+)","1 deletion(-)",""
"106","070aac7a7","Christoph","Sat Jan 8 08:09:04 2022","Replace master with main","1 file changed","25 insertions(+)","26 deletions(-)",""
"107","618dc4a30","Siedlerchr","Sat Jan 8 05:01:20 2022","reenable normale options","1 file changed","1 insertion(+)","1 deletion(-)",""
"108","6f1a82c89","Benedikt Tutzer","Sat Jan 8 03:23:51 2022","Step lucene index version","1 file changed","1 insertion(+)","1 deletion(-)",""
"109","1ef7d2a87","Siedlerchr","Fri Jan 7 17:03:41 2022","fix some potential resource leaks","1 file changed","7 insertions(+)","9 deletions(-)",""
"110","259945ffa","Siedlerchr","Fri Jan 7 16:54:07 2022","add analysis and highlighter to module info","1 file changed","3 insertions(+)","",""
"111","5e2c6979c","Carl Christian Snethlage","Mon Jan 3 16:07:38 2022","quickfix (#8383)","1 file changed","9 insertions(+)","1 deletion(-)",""
"112","aac66f5bf","dependabot[bot]","Mon Jan 3 10:08:51 2022","Bump org.eclipse.jgit from 5.13.0.202109080827-r to 6.0.0.202111291000-r (#8378)","1 file changed","1 insertion(+)","1 deletion(-)",""
"113","86c52c872","dependabot[bot]","Mon Jan 3 10:08:40 2022","Bump jackson-dataformat-yaml from 2.13.0 to 2.13.1 (#8379)","1 file changed","1 insertion(+)","1 deletion(-)",""
"114","619744c61","dependabot[bot]","Mon Jan 3 07:14:28 2022","Bump tika-core from 2.2.0 to 2.2.1 (#8377)","1 file changed","1 insertion(+)","1 deletion(-)",""
"115","1fcdcca00","Carl Christian Snethlage","Sat Jan 1 11:14:17 2022","Update turabian-fullnote-bibliography-no-ibid.csl","1 file changed","11 deletions(-)","",""
"116","5250ce4f6","Siedlerchr","Fri Dec 31 06:23:29 2021","test with providing info in merged module","1 file changed","7 insertions(+)","",""
"117","8e922280f","dependabot[bot]","Tue Dec 28 05:16:37 2021","Bump jackson-datatype-jsr310 from 2.13.0 to 2.13.1 (#8366)","1 file changed","1 insertion(+)","1 deletion(-)",""
"118","d8513ae53","dependabot[bot]","Tue Dec 28 05:16:28 2021","Bump xmpbox from 2.0.24 to 2.0.25 (#8364)","1 file changed","1 insertion(+)","1 deletion(-)",""
"119","dea1fda2b","dependabot[bot]","Tue Dec 28 05:16:15 2021","Bump mockito-core from 4.1.0 to 4.2.0 (#8367)","1 file changed","1 insertion(+)","1 deletion(-)",""
"120","32223a416","Oliver Kopp","Mon Dec 27 03:01:49 2021","Update Gradle Wrapper from 7.3.2 to 7.3.3. (#8363)","1 file changed","2 insertions(+)","2 deletions(-)",""
"121","52f8cc8d5","Siedlerchr","Mon Dec 27 03:00:42 2021","checkstyle","1 file changed","1 insertion(+)","",""
"122","b2b350417","Siedlerchr","Sun Dec 26 15:16:23 2021","Fix import entry by id does not genrate citation key","1 file changed","49 insertions(+)","21 deletions(-)",""
"123","3c936d767","Christoph","Wed Dec 22 09:19:44 2021","bump version","1 file changed","1 insertion(+)","1 deletion(-)",""
"124","20dc9a5af","Christoph","Wed Dec 22 09:19:26 2021","Update bug_report.yml","1 file changed","1 insertion(+)","1 deletion(-)",""
"125","d92466247","Siedlerchr","Tue Dec 21 09:48:34 2021","Update snapcraft portable download link","1 file changed","2 insertions(+)","2 deletions(-)",""
"126","fa10ac011","Oliver Kopp","Mon Dec 20 14:52:03 2021","Fix link","1 file changed","1 insertion(+)","1 deletion(-)",""
"127","0ad010a00","Oliver Kopp","Mon Dec 20 14:50:18 2021","Ignore web.archive.org at link check","1 file changed","3 insertions(+)","",""
"128","38c5e8a1a","Siedlerchr","Mon Dec 20 14:45:19 2021","Show development information","1 file changed","22 insertions(+)","",""
"129","ab4418201","Siedlerchr","Mon Dec 20 13:38:09 2021","Release v5.4","1 file changed","3 insertions(+)","92 deletions(-)",""
"130","19f386a48","Siedlerchr","Mon Dec 20 13:34:11 2021","Add external libraries update","1 file changed","98 insertions(+)","63 deletions(-)",""
"131","d5d93a58f","Siedlerchr","Mon Dec 20 11:55:00 2021","checkstyle","1 file changed","4 insertions(+)","8 deletions(-)",""
"132","df4090c72","dependabot[bot]","Mon Dec 20 08:37:12 2021","Bump pdfbox from 2.0.24 to 2.0.25 (#8345)","1 file changed","1 insertion(+)","1 deletion(-)",""
"133","87f46aa5d","dependabot[bot]","Mon Dec 20 08:29:37 2021","Bump fontbox from 2.0.24 to 2.0.25 (#8348)","1 file changed","1 insertion(+)","1 deletion(-)",""
"134","be4d2c47f","dependabot[bot]","Mon Dec 20 07:54:07 2021","Bump xmlunit-core from 2.8.3 to 2.8.4 (#8347)","1 file changed","1 insertion(+)","1 deletion(-)",""
"135","660b81c37","dependabot[bot]","Mon Dec 20 07:53:41 2021","Bump tika-core from 2.1.0 to 2.2.0 (#8346)","1 file changed","1 insertion(+)","1 deletion(-)",""
"136","98fd3d3d4","Oliver Kopp","Mon Dec 20 00:35:05 2021","Update Gradle Wrapper from 7.3.1 to 7.3.2. (#8343)","1 file changed","2 insertions(+)","2 deletions(-)",""
"137","9d55f53b7","Christoph","Mon Dec 13 12:26:09 2021","New translations JabRef_en.properties (Japanese) (#8331)","1 file changed","130 insertions(+)","3 deletions(-)",""
"138","b756833fb","dependabot[bot]","Mon Dec 13 12:25:55 2021","Bump bcprov-jdk15on from 1.69 to 1.70 (#8333)","1 file changed","1 insertion(+)","1 deletion(-)",""
"139","f9fd220ed","Christoph","Sun Dec 12 13:11:41 2021","Update Controlsfx to 11.1.1 (#8330)","1 file changed","1 insertion(+)","1 deletion(-)",""
"140","a18838241","Christoph","Sun Dec 12 12:37:16 2021","Update citeproc (#8329)","1 file changed","1 insertion(+)","1 deletion(-)",""
"141","344641c27","dependabot[bot]","Sun Dec 12 12:10:47 2021","Bump classgraph from 4.8.137 to 4.8.138 (#8327)","1 file changed","1 insertion(+)","1 deletion(-)",""
"142","4ed175275","dependabot[bot]","Sun Dec 12 12:10:37 2021","Bump junit-platform-launcher from 1.8.1 to 1.8.2 (#8326)","1 file changed","1 insertion(+)","1 deletion(-)",""
"143","7cfbab759","dependabot[bot]","Sun Dec 12 11:58:19 2021","Bump junit-jupiter from 5.8.1 to 5.8.2 (#8325)","1 file changed","1 insertion(+)","1 deletion(-)",""
"144","b875e1f65","dependabot[bot]","Sun Dec 12 11:58:11 2021","Bump libreoffice from 7.2.2 to 7.2.3 (#8328)","1 file changed","1 insertion(+)","1 deletion(-)",""
"145","2b74942be","Christoph","Sun Dec 12 11:01:42 2021","Remove outdated ignores","1 file changed","1 insertion(+)","7 deletions(-)",""
"146","20b3d73d4","Christoph","Sun Dec 12 00:19:29 2021","New translations JabRef_en.properties (Turkish) (#8321)","1 file changed","23 insertions(+)","",""
"147","55023e926","Maximilian Federle","Sat Dec 11 12:57:51 2021","snap: Remove superfluous files post build (#8319)","1 file changed","17 insertions(+)","",""
"148","595c458b0","Christoph","Sat Dec 11 12:28:00 2021","New translations JabRef_en.properties (German) (#8318)","1 file changed","1 insertion(+)","",""
"149","a74253e0b","Mihail Stoian","Sat Dec 11 10:54:55 2021","Fixed exception handling (#8314)","1 file changed","1 insertion(+)","1 deletion(-)",""
"150","46ecb4579","dependabot[bot]","Mon Dec 6 09:57:23 2021","Remove bytebuddy (#8300)","1 file changed","1 deletion(-)","",""
"151","fdc6eee89","dependabot[bot]","Mon Dec 6 09:42:44 2021","Bump postgresql from 42.2.24 to 42.3.1 (#8301)","1 file changed","1 insertion(+)","1 deletion(-)",""
"152","eff62f6dd","Christoph","Wed Dec 1 13:15:26 2021","Fix icon picker excpetion in groups dialog (#8290)","1 file changed","8 insertions(+)","2 deletions(-)",""
"153","4f11b0826","Oliver Kopp","Wed Dec 1 12:26:28 2021","Add doc tests (#8242)","1 file changed","57 insertions(+)","",""
"154","f175e2262","Siedlerchr","Wed Dec 1 11:57:58 2021","fix merge conflict","1 file changed","30 deletions(-)","",""
"155","21749cdf6","Siedlerchr","Tue Nov 30 13:19:56 2021","use new builder","1 file changed","4 insertions(+)","7 deletions(-)",""
"156","58d75935d","dependabot[bot]","Mon Nov 29 07:45:33 2021","Bump byte-buddy-parent from 1.12.1 to 1.12.2 (#8285)","1 file changed","1 insertion(+)","1 deletion(-)",""
"157","6d915f1a3","dependabot[bot]","Mon Nov 29 07:45:14 2021","Bump unirest-java from 3.13.3 to 3.13.4 (#8283)","1 file changed","1 insertion(+)","1 deletion(-)",""
"158","444c31f6f","dependabot[bot]","Mon Nov 29 07:44:28 2021","Bump checkstyle from 9.1 to 9.2 (#8284)","1 file changed","1 insertion(+)","1 deletion(-)",""
"159","a9cad3034","dependabot[bot]","Mon Nov 29 07:43:21 2021","Bump classgraph from 4.8.135 to 4.8.137 (#8282)","1 file changed","1 insertion(+)","1 deletion(-)",""
"160","7aaf5e255","Christoph","Thu Nov 25 07:48:39 2021","Update deployment.yml","1 file changed","1 insertion(+)","1 deletion(-)",""
"161","5958dff53","Christoph","Thu Nov 25 07:46:43 2021","TEst","1 file changed","1 insertion(+)","",""
"162","f1ea63b35","Oliver Kopp","Tue Nov 23 00:42:19 2021","Fixes RFC fetcher test case (#8271)","1 file changed","1 insertion(+)","1 deletion(-)",""
"163","66667f3c7","dependabot[bot]","Mon Nov 22 11:50:29 2021","Bump checkstyle from 9.0.1 to 9.1 (#8266)","1 file changed","1 insertion(+)","1 deletion(-)",""
"164","354c961dd","dependabot[bot]","Mon Nov 22 11:50:18 2021","Bump mockito-core from 4.0.0 to 4.1.0 (#8267)","1 file changed","1 insertion(+)","1 deletion(-)",""
"165","1d66af62e","dependabot[bot]","Mon Nov 22 11:49:35 2021","Bump classgraph from 4.8.130 to 4.8.135 (#8268)","1 file changed","1 insertion(+)","1 deletion(-)",""
"166","578c1062d","MLEP","Wed Nov 17 13:15:05 2021","Add of ADRs 22 and 23 (#8256)","1 file changed","2 insertions(+)","",""
"167","9955a3314","dependabot[bot]","Mon Nov 15 08:26:49 2021","Bump gittools/actions from 0.9.10 to 0.9.11 (#8248)","1 file changed","4 insertions(+)","4 deletions(-)",""
"168","a52a67726","dependabot[bot]","Mon Nov 15 08:26:39 2021","Bump commons-cli from 1.4 to 1.5.0 (#8250)","1 file changed","1 insertion(+)","1 deletion(-)",""
"169","6293196ee","dependabot[bot]","Mon Nov 15 08:26:29 2021","Bump byte-buddy-parent from 1.12.0 to 1.12.1 (#8249)","1 file changed","1 insertion(+)","1 deletion(-)",""
